Timestamp,Average Bikes in Use,Average Temperature,Average Wind Speed,Normalised Average Bikes in Use,Normalised Average Temperature,Normalised Average Wind Speed
2018-12-28 17:20:03,14.54,8.46,2.13,0.0393440195650369,0.04650166745469158,0.024086605175508945
2018-12-28 17:40:04,14.35,8.29,2.85,0.038829895512949075,0.04556723678479824,0.03222855622075141
2018-12-28 18:00:05,14.35,8.29,2.85,0.038829895512949075,0.04556723678479824,0.03222855622075141
2018-12-28 18:20:03,14.46,8.29,2.49,0.039127546279947294,0.04556723678479824,0.028157580698130177
2018-12-28 18:40:04,14.61,8.29,2.85,0.03953343368949031,0.04556723678479824,0.03222855622075141
2018-12-28 19:00:05,14.61,8.29,2.85,0.03953343368949031,0.04556723678479824,0.03222855622075141
2018-12-28 19:20:03,14.61,8.29,2.85,0.03953343368949031,0.04556723678479824,0.03222855622075141
2018-12-28 19:40:04,14.67,8.2,2.85,0.03969578865330752,0.04507253819485471,0.03222855622075141
2018-12-28 20:00:05,14.67,8.2,2.85,0.03969578865330752,0.04507253819485471,0.03222855622075141
2018-12-28 20:20:04,14.67,8.2,2.85,0.03969578865330752,0.04507253819485471,0.03222855622075141
2018-12-28 20:40:03,14.67,8.2,2.85,0.03969578865330752,0.04507253819485471,0.03222855622075141
2018-12-28 21:20:04,14.98,8.23,2.35,0.040534622633029774,0.04523743772483589,0.02657442355044414
2018-12-28 21:40:04,15.11,8.1,2.6,0.04088639172130039,0.04452287309491746,0.029401489885597775
2018-12-28 22:00:05,14.59,8.1,2.6,0.039479315368217915,0.04452287309491746,0.029401489885597775
2018-12-28 22:20:04,14.54,8.05,3.36,0.0393440195650369,0.04424804054494884,0.03799577154446481
2018-12-28 22:40:04,14.26,8.33,2.1,0.03858636306722327,0.04578710282477314,0.02374735721529051
2018-12-28 23:00:05,14.26,8.33,2.1,0.03858636306722327,0.04578710282477314,0.02374735721529051
2018-12-28 23:20:03,14.22,8.44,2.6,0.03847812642467846,0.04639173443470412,0.029401489885597775
2018-12-28 23:40:04,14.35,8.45,3.1,0.038829895512949075,0.04644670094469784,0.03505562255590504
