bike0,temp0,wind0,bike1,temp1,wind1,bike2,temp2,wind2,bike3,temp3,wind3,bike4,temp4,wind4,bike5,temp5,wind5,bike6,temp6,wind6,bike7,temp7,wind7,bike8,temp8,wind8,bike9,temp9,wind9,bike10,temp10,wind10,bike11,temp11,wind11,bike12,temp12,wind12,bike13,temp13,wind13,bike14,temp14,wind14,bike15,temp15,wind15,bike16,temp16,wind16,bike17,temp17,wind17,bike18,temp18,wind18,bike19,temp19,wind19,bike20,temp20,wind20,bike21,temp21,wind21,bike22,temp22,wind22,bike23,temp23,wind23
14.04,8.34,6.2,13.98,4,2.1,13.98,3.94,2.32,14.02,3.66,2.6,14.04,3.67,2.6,14,3.58,2.6,14.02,3.38,2.1,14.41,3.29,2.6,14.3,3.26,2.6,12.28,3.76,3.03,11.41,3.86,3.07,12.02,4.57,3.1,11.85,4.95,3.1,11.76,5.11,3.1,15.52,9.93,6.2,15.8,9.74,5.1,15.17,9.09,5.03,13.41,8.91,4.1,13.17,8.75,3.35,13.33,8.46,3.35,14.07,8.43,3.6,13.7,8.43,3.85,13.39,8.43,4.1,13.3,8.43,4.6
14.07,4.51,2.6,15.76,3.91,2.1,14,3.69,2.1,14.02,3.66,2.6,14.04,3.4,2.6,14,3.18,2.6,14.24,3.55,2.1,14.57,3.21,2.6,14.04,3.59,3.1,11.8,3.64,3.6,11.72,4.48,3.6,11.85,4.95,3.1,11.93,5.03,3.13,12,5.23,2.67,11.8,5.48,3.6,11.48,5.49,2.6,15.09,8.82,4.1,15.09,8.82,4.1,12.96,8.6,3.22,13.57,8.58,4.21,14.07,8.43,3.6,14.52,6.37,3.1,13.39,8.43,4.1,13.48,8.36,3.1
14.02,4.4,2.6,15.78,3.69,1.5,15.78,3.69,1.5,15.83,3.65,1.5,15.83,3.44,1,15.93,3.5,1.25,15.91,3.44,1,16.17,3.4,2.1,17.37,3.48,1.5,16.5,3.35,1,12.48,3.55,1.38,11.67,3.92,1.83,11.76,5.11,3.1,11.8,5.48,3.6,12.26,5.47,3.13,11.09,5.17,3.07,12.48,4.93,2.6,14.87,8.82,3.1,14.67,8.28,2.59,14.67,7.46,2.6,14.5,6.81,3.1,14.33,6.1,2.1,14.07,5.72,2.95,14.15,5.05,2.96
13.91,4.06,2.48,15.78,3.69,1.5,15.8,3.66,1,15.78,3.66,1.5,15.89,3.26,1,15.91,3.44,1,15.96,3.54,1.5,16.17,3.4,2.1,16.74,3.58,1.54,13.78,3.48,1.5,12.07,3.82,1.11,11.5,4.15,2.22,11.76,4.39,2.05,12.52,4.29,2.05,11.48,5.49,2.6,12.17,4.37,2.03,12.5,4.48,1.5,14.83,8.28,2.6,14.63,8.1,2.6,14.76,7.28,2.6,14.57,6.54,2.1,14.22,5.87,2.6,14.15,5.57,3.1,14.13,5.37,2.6
15.65,3.97,2.1,14.28,1.88,1,15.8,3.66,1,15.83,3.44,1,15.93,3.56,1.5,15.91,3.44,1,16.17,3.4,2.1,16.63,3.35,1.5,16.5,3.35,1,13.78,3.48,1.5,11.59,3.92,1.8,11.76,4.39,2.05,11.96,4.39,2.6,11.87,4.62,2.1,11.87,4.62,2.1,12.37,4.29,2.49,12.76,4.24,2.53,12.57,4.93,2.48,14.67,7.46,2.6,14.5,6.81,3.1,14.52,6.37,3.1,16.39,4.36,2.1,14.15,5.57,3.1,14.07,4.51,2.6
15.67,3.91,1.5,14.3,1.62,1.16,14.26,1.44,1,14.3,1.21,1.5,14.33,1.44,0.5,14.85,1.21,1,14.89,1.56,1.5,15.04,1.32,1.5,15.76,0.01,1.5,14.52,-0.56,1.5,12.11,-0.69,1.22,11.09,1.17,1.5,12.52,4.29,2.05,11.87,4.62,2.1,11.63,4.33,2.21,12.5,4.48,1.5,12.85,3.87,2.1,13.65,4.84,2.5,14.22,4.73,2.6,15.5,4.77,2.1,16.07,4.64,2.1,16.3,4.36,2.1,15.98,4.06,2.37,15.8,3.92,2.48
15.76,3.91,2.1,14.22,1.57,1.17,14.26,1.22,1.01,14.35,1.45,1.43,14.35,1.44,0.5,14.98,1.44,1.5,14.89,1.56,1.5,15.04,1.32,1.5,15.11,-0.35,2.06,12.74,-0.76,1.54,11.09,-0.34,1,11.28,1.8,2.1,11.28,1.8,2.1,12.63,2.95,3.99,12.2,4.39,2.05,12.04,3.07,3.26,13.17,2.66,1.2,14.22,4.73,2.6,15.5,4.77,2.1,15.48,4.44,3.03,16.13,4.27,2.5,16.28,4.12,2.1,15.76,4.02,2.6,15.74,3.91,2.6
14.54,2.21,0.5,14.52,2.92,3.85,14.3,1.22,2.92,14.33,1.44,1.43,14.33,1.22,1,14.98,1.44,1.5,15.04,1.36,2.07,15.89,0.26,1.5,15.22,-0.46,1.7,12.11,-0.69,1.22,10.76,0.66,1,11.28,1.8,2.1,12.33,2.56,3.57,12.61,3.19,3.17,12.5,3.27,3.97,11.65,2.71,2.6,13.26,2.2,0.92,12.85,3.87,2.1,15.5,4.77,2.1,15.59,4.64,2.1,16.37,4.37,2.1,15.54,2.88,1.5,15.78,3.93,2.6,15.65,3.91,2.1
14.22,2.12,0.5,14.63,2.91,3.6,14.63,2.91,3.6,14.87,3.25,3.58,14.89,3.25,4.1,14.85,3.25,3.1,14.91,3.43,3.06,14.83,3.7,3.6,14.74,4.03,3.1,14.98,3.89,2.6,15.89,3.83,4.1,16.02,3.61,4.28,12.63,2.95,3.99,12.5,3.27,3.97,12,3.1,4.07,11.8,2.71,2.23,15.85,4.64,3.14,13.85,3.87,2.13,13.78,3.87,2.6,15.17,3.83,2.6,15.07,3.66,1.5,15.46,2.43,1.5,15.07,2.43,1.5,14.57,2.31,1
14.26,2.12,0.5,14.63,2.91,3.6,14.87,3.13,3.6,14.98,3.23,4.6,14.87,3.23,4.1,15.15,3.47,3.6,14.85,3.47,2.6,14.8,4.03,3.5,14.89,3.44,3.6,15.37,3.66,4.13,15.96,3.74,3.67,16.09,3.5,4.21,15.67,3.82,4.1,15.3,4.09,3.34,12.04,3.07,3.26,15.28,4.41,3.6,15.93,4.64,3.07,13.78,3.87,2.6,13.78,3.87,2.6,14.93,3.63,1.57,15.5,3.43,1.57,15.07,2.43,1.5,14.7,2.3,1.12,14.59,2.12,1.54
14.5,2.36,2.1,14.52,5.12,3.12,14.87,3.24,2.58,14.96,3.25,4.1,14.85,3.25,3.1,14.93,3.41,3.6,14.83,3.7,3.6,14.74,4.03,3.1,14.98,3.89,2.6,15.89,3.83,4.1,15.87,3.74,4.1,15.67,3.82,4.1,14.89,3.9,3.63,15.28,4.17,3.13,15.37,4.41,3.1,15.57,4.46,4.03,15.93,4.64,2.6,13.26,2.2,0.92,15.17,3.83,2.6,15.07,3.66,1.5,15.54,2.88,1.5,14.7,1.66,3.1,14.52,2.31,1,14.59,2.12,1.54
14.5,2.91,3.1,14.7,5.22,3.6,14.85,5.21,3.43,14.91,5.26,2.6,15,5.25,2.39,15.13,5.43,3.02,15.17,5.26,3.1,15.13,5.25,3.1,14.87,5.76,3.6,14.74,5.72,2.85,14.63,6,2.6,15.07,6.41,2.85,15.37,4.09,3.6,15.37,4.41,3.1,15.26,4.4,3.6,15.8,4.64,3.1,13.93,8.91,3.6,13.26,2.2,0.92,14.74,1.99,2.1,14.74,1.99,2.1,14.83,1.33,3.6,14.98,1.74,3.1,14.37,1.53,1.8,14.59,2.11,2.38
14.52,2.93,4.1,14.8,5.14,4.1,14.89,5.24,3.1,14.93,5.22,2.6,15.02,5.25,2.6,15.15,5.44,2.84,15.15,5.33,2.6,15.13,5.25,3.1,14.65,5.59,1.63,15.02,5.59,1.74,14.85,6.25,2.02,15.15,7.01,3.57,15.15,7.01,3.57,14.63,8.02,3.1,15.28,4.41,3.6,14.28,8.91,3.1,13.85,8.91,2.46,14.74,1.99,2.1,14.74,1.99,2.1,14.74,1.99,2.1,14.76,1.41,2.6,14.98,1.74,3.1,14.35,2.11,2.6,14.59,2,2.1
14.43,5.02,2.6,13.7,7.22,2.44,14.91,5.34,2.6,15.02,5.26,2.1,15.2,5.43,3.34,15.17,5.26,3.1,15.15,5.33,2.6,14.87,5.76,3.6,14.83,5.72,2.85,14.63,6,2.6,14.83,6.41,2.85,15.15,7.01,3.57,15.07,7.92,3.13,14.59,8.16,2.7,14.41,8.64,2.6,14.26,8.91,2.93,13.67,8.82,2.1,15.93,4.64,2.6,14.74,1.99,2.1,14.83,1.33,3.6,14.7,1.66,3.1,14.87,4.73,3.05,14.63,2.19,2.6,14.5,2.36,2.1
14.41,5,2.1,13.72,7.11,2.6,13.72,7.45,2.6,13.72,7.62,1.72,13.87,7.77,2.1,13.87,7.77,2.1,13.39,7.86,2.6,13.46,7.99,3.1,14.17,7.68,4.1,12.85,7.88,4.78,11.78,8.04,5.33,11.48,8.41,5.1,14.63,8.02,3.1,14.41,8.64,2.6,14.02,8.91,2.13,13.93,8.91,3.6,12.26,10.27,6.2,15.52,4.64,3.07,15.5,4.31,3.35,14.96,4.51,3.05,14.96,4.51,3.05,14.76,4.81,3.1,14.63,5.03,3.1,14.5,5.02,2.87
14.46,5.01,2.6,13.72,7.11,2.6,13.72,7.37,2.6,13.74,7.61,1.5,13.87,7.77,2.1,13.39,7.86,2.6,13.46,7.99,3.1,13.46,7.99,3.1,14.87,7.72,4.13,12.22,7.78,4.38,11.37,8.35,4.17,11.57,8.95,5.26,11.89,9.11,5.1,12.07,9.51,6.2,14.22,8.91,3.1,12.09,9.9,5.7,12.67,10.36,6.1,15.5,4.31,3.35,15.04,4.74,3.03,14.96,4.51,3.05,14.98,4.62,2.85,14.63,5.03,3.1,14.57,4.91,2.6,14.43,5.02,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.33,5.71,2.72,14.40,5.58,2.61,14.41,5.59,2.55,14.46,5.60,2.65,14.47,5.55,2.70,14.49,5.46,2.90,14.44,5.47,2.92,14.56,5.41,3.04,14.68,5.31,3.02,13.92,5.38,3.01,13.35,5.75,3.11,13.39,6.38,3.64,13.61,6.92,3.73,13.66,7.27,3.85,13.62,7.39,3.83,13.67,7.43,3.83,13.97,7.81,3.56,14.13,6.89,2.91,14.37,6.82,2.94,14.50,6.55,2.91,14.63,6.30,2.98,14.64,5.97,2.81,14.31,5.89,2.66,14.26,5.76,2.70
